stationid_start,stationid_end,starttime,traveltime,_created_at,_updated_at
101021,101054,2015-05-01 00:15:47,200,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101042,2015-05-01 00:15:47,148,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101033,2015-05-01 00:15:50,398,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101054,2015-05-01 00:15:50,86,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101042,2015-05-01 00:15:50,750,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101042,2015-05-01 00:15:50,197,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:16:05,758,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103052,101042,2015-05-01 00:16:14,40,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101042,2015-05-01 00:16:18,84,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101033,2015-05-01 00:16:18,165,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101021,2015-05-01 00:16:18,219,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:16:29,137,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:16:33,55,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101033,2015-05-01 00:16:33,135,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101042,2015-05-01 00:16:33,192,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101042,2015-05-01 00:16:40,53,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101033,2015-05-01 00:16:40,131,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:16:53,188,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,105082,2015-05-01 00:16:54,1247,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101042,2015-05-01 00:17:16,111,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101033,2015-05-01 00:17:16,312,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:17:28,80,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101042,2015-05-01 00:17:28,137,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101033,2015-05-01 00:17:33,78,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:17:37,455,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101033,2015-05-01 00:17:37,582,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101021,2015-05-01 00:17:42,135,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101033,2015-05-01 00:17:42,81,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:17:47,1060,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:18:07,508,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:18:07,124,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,102082,2015-05-01 00:18:07,1152,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200205,200206,2015-05-01 00:18:10,77,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:18:14,125,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101054,2015-05-01 00:18:15,52,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200209,103082,2015-05-01 00:18:29,1016,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200209,103082,2015-05-01 00:18:29,552,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:18:32,143,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101042,2015-05-01 00:18:48,57,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101021,2015-05-01 00:19:03,54,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101033,2015-05-01 00:19:07,201,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:19:18,138,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101033,2015-05-01 00:19:27,73,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:20:05,134,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,104082,2015-05-01 00:20:11,553,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,102082,2015-05-01 00:20:11,1028,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,105082,2015-05-01 00:20:52,173,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,200209,2015-05-01 00:21:01,1143,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:21:01,875,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:21:01,262,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:21:54,822,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:21:54,207,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101042,2015-05-01 00:22:28,352,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:23:23,109,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101033,2015-05-01 00:23:23,236,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:23:57,183,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,103082,2015-05-01 00:24:39,137,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,105082,2015-05-01 00:24:39,314,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:25:12,127,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,200209,2015-05-01 00:25:23,881,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:26:12,120,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,104082,2015-05-01 00:26:35,169,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,102082,2015-05-01 00:26:35,644,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,105082,2015-05-01 00:26:56,177,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103052,101042,2015-05-01 00:27:13,105,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103052,101033,2015-05-01 00:27:13,197,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:27:43,64,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101077,2015-05-01 00:27:43,412,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101033,2015-05-01 00:27:43,152,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101042,2015-05-01 00:27:43,208,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101054,2015-05-01 00:27:43,278,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200003,2015-05-01 00:27:55,361,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:27:55,175,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101054,2015-05-01 00:28:14,84,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101077,2015-05-01 00:28:14,215,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:28:47,88,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
